,full_text,date,employee_title,location,employee_status,review_title,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,Hosp_Name
10,"October 10, 2017
""Registered nurse""
Current Employee - Registered Nurse in Elgin, IL
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I have been working at Presence Health full-time
Pros
Pay was okay, gave me a sign on bonus but more than half was taxes.
Cons
Unorganized, they don't teach, disrespectful doctors, staff was mean, very poor patient safety.
Advice to Management
Not really aware
Helpful",Tue Oct 10 2017 13:29:53 GMT-0400 (Eastern Daylight Time), Registered Nurse,"Elgin, IL",Current Employee ,Registered nurse,1.0,3.0,1.0,2.0,2.0,1.0,Saint Joseph Hospital Elgin - AMITA
11,"January 21, 2017
Helpful (2)
""Registered Nurse""
Current Employee - Registered Nurse in Elgin, IL
Doesn't Recommend
Approves of CEO
I have been working at Presence Health full-time
Pros
- The seasoned Nurses are knowledgeable and helpful.
- The PCU Nurses are well-versed and dependable.
- The orientation process in the PCU is structured and provides you the needed background to ready oneself to be on their own.
Cons
- The ICU utilizes a lot of Agency Nurses, which affects the orientation process of new graduate nurses. The orientation process lacks structure and continuity to successfully prepare a new graduate to be on their own. The approach is to just ""throw you into it"" and have you figure it out.
- Nurses that gossip about fellow staff members and patients throughout the shift (3rd floor, for example). 3rd floor staff...
Show More
Advice to Management
- Structured staffing for Nurses and CNAs, not floating RNs and CNAs to other floors and causing other floors to be short-staffed and have Nurses end up with less-than-ideal patient ratios.
Helpful (2)",Sat Jan 21 2017 22:07:59 GMT-0500 (Eastern Standard Time), Registered Nurse,"Elgin, IL",Current Employee ,Registered Nurse,3.0,3.0,2.0,3.0,3.0,2.0,Saint Joseph Hospital Elgin - AMITA
12,"May 19, 2016
Helpful (2)
""Community Programs Coordinator""
 in Elgin, IL
Doesn't Recommend
Negative Outlook
No opinion of CEO
I worked at Presence Health
Pros
Helping patients and family members
Cons
Constant changes and no direction from executives or corporate
Helpful (2)",Thu May 19 2016 07:42:06 GMT-0400 (Eastern Daylight Time),,"Elgin, IL"," in Elgin, IL",Community Programs Coordinator,3.0,,,,,,Saint Joseph Hospital Elgin - AMITA
13,"September 3, 2015
""Registered Nurse""
Registered Nurse in Elgin, IL
Recommends
Positive Outlook
Disapproves of CEO
I have been working at Presence Health
Pros
Great staff members with interesting patients. Opportunities to learn
Cons
Always understaffed. Main concern is productivity. Nurses are not given nearly enough respect. Although, that seems to be healthcare in general.
Advice to Management
Fight for the nurses.
Helpful",Thu Sep 03 2015 10:28:33 GMT-0400 (Eastern Daylight Time),,"Elgin, IL","Registered Nurse in Elgin, IL",Registered Nurse,3.0,3.0,4.0,1.0,1.0,1.0,Saint Joseph Hospital Elgin - AMITA
14,"June 22, 2015
""cna""
Dietary Aide in Elgin, IL
I have been working at Presence Health for more than a year
Pros
good benefits and good pay
Cons
too many patients per cna
Helpful",Mon Jun 22 2015 21:22:48 GMT-0400 (Eastern Daylight Time),,"Elgin, IL","Dietary Aide in Elgin, IL",cna,4.0,,,,,,Saint Joseph Hospital Elgin - AMITA
15,"June 2, 2014
Helpful (2)
""Staffing is cut to almost nothing. Salaries cut. Low census mandatory.""
Current Employee - Registered Nurse in Elgin, IL
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I have been working at Presence Health part-time for more than 10 years
Pros
I haven't found one yet.
Cons
It's all about productivity, whether it matters to your job or not. They keep adding more and more work to their employees and cutting their hours/pay. People are leaving like crazy! Many top managers/administrators have left in the past couple of months. Quit having your employees doing housekeeping and other chores. Embarrassing how employees are treated.
Advice to Management
Staff your hospital. Quit expecting us to do everything when you cut our hours AND pay and dump more work on us. Ridiculous! How many units can one manager handle? How many positions can one employee handle? I am currently doing the work of 5 people-one person is on leave, one person quit and two people were laid off. Oh and I had to take a pay cut when my work quadrupled. Nobody listens to us. Nobody cares. I am...
Show More
Helpful (2)",Mon Jun 02 2014 11:13:11 GMT-0400 (Eastern Daylight Time), Registered Nurse,"Elgin, IL",Current Employee ,Staffing is cut to almost nothing. Salaries cut. Low census mandatory.,1.0,1.0,1.0,1.0,1.0,1.0,Saint Joseph Hospital Elgin - AMITA
0,"January 24, 2020
""New management""
Former Employee - Supervisor in Rockford, IL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Mercyhealth full-time for more than 5 years
Pros
I was able to build partnerships and network that’s about it
Cons
The merge created a lot of undue stress and a lot of things were not discussed prior. A lot of Janesville management and directors have bossy attitudes its their Janesville way or else. They don’t listen to work flow ideas from RMH partners they always take over and their ideas are always used. They need to know how to communicate with staff. Director will walk right past her staff and act as if they don’t exist....
Show More
Helpful",Fri Jan 24 2020 06:47:26 GMT-0500 (Eastern Standard Time), Supervisor,"Rockford, IL",Former Employee ,New management,2.0,3.0,2.0,2.0,2.0,1.0,Mercyhealth Javon Bea Rockford
1,"September 22, 2019
""Don't come here for benefits""
Current Employee - Desktop Support Technician in Rockford, IL
Recommends
Neutral Outlook
No opinion of CEO
I have been working at Mercyhealth full-time for more than 5 years
Pros
work life balance is decent
Cons
benefits are not that great.
Helpful",Sun Sep 22 2019 18:38:50 GMT-0400 (Eastern Daylight Time), Desktop Support Technician,"Rockford, IL",Current Employee ,Don't come here for benefits,3.0,4.0,3.0,3.0,2.0,3.0,Mercyhealth Javon Bea Rockford
2,"September 8, 2019
Helpful (1)
""Toxic Manager How is She Still There?""
Former Employee - ER Registration in Rockford, IL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Mercyhealth full-time for more than 3 years
Pros
Benefits and when I left
Cons
Pay. Many work hours. Favoritism. Toxic Moody Boss. High Turnover. Lazy Coworkers.
Advice to Management
Look at the high turnover and why it is happening. Its the Manager of the Department!
Helpful (1)",Sun Sep 08 2019 22:58:30 GMT-0400 (Eastern Daylight Time), ER Registration,"Rockford, IL",Former Employee ,Toxic Manager How is She Still There?,2.0,2.0,3.0,1.0,3.0,1.0,Mercyhealth Javon Bea Rockford
3,"August 12, 2019
""Excellent Culture!""
Former Employee - Coordinator in Rockford, IL
Recommends
Positive Outlook
Approves of CEO
I worked at Mercyhealth full-time for more than a year
Pros
Kind individuals. Good mission. Opportunity for growth.
Cons
Not always organized. Incompliance at times.
Helpful",Mon Aug 12 2019 13:16:27 GMT-0400 (Eastern Daylight Time), Coordinator,"Rockford, IL",Former Employee ,Excellent Culture!,4.0,5.0,5.0,4.0,4.0,4.0,Mercyhealth Javon Bea Rockford
4,"March 29, 2019
""Mercy Health""
Current Employee - Manager in Rockford, IL
Recommends
Positive Outlook
Approves of CEO
I have been working at Mercyhealth full-time for more than 10 years
Pros
Its a good place to work
Cons
Many changes in the recent timeframe
Helpful",Fri Mar 29 2019 13:31:54 GMT-0400 (Eastern Daylight Time), Manager,"Rockford, IL",Current Employee ,Mercy Health,5.0,2.0,5.0,5.0,5.0,3.0,Mercyhealth Javon Bea Rockford
5,"December 21, 2017
Helpful (3)
""Poor Management, Poor Communication, Poor Outcomes""
Current Employee - Anonymous Employee in Rockford, IL
Doesn't Recommend
Positive Outlook
Disapproves of CEO
I have been working at Mercyhealth full-time for more than 8 years
Pros
The employees that are left still have ""hope"" for better behavior from Administration.
Cons
No one around in Administration, poor communication, expectations are high, not transparent and the community sees the poor results.
Advice to Management
How can you run a hospital when you're not here? Be visible to staff, hire the best candidate, not your Best Friend, go easy on the nepotism. Have a fair wage structure for staff, stop replacing Rockford employees with Janesville employees: they're not vested in the community. Value your employees and don't lie to the community.
Helpful (3)",Thu Dec 21 2017 11:53:55 GMT-0500 (Eastern Standard Time),,"Rockford, IL",Current Employee ,"Poor Management, Poor Communication, Poor Outcomes",1.0,1.0,1.0,1.0,1.0,1.0,Mercyhealth Javon Bea Rockford
6,"July 25, 2017
Helpful (9)
""Avoid at all costs""
Current Employee - Pharmacist in Rockford, IL
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I have been working at Mercyhealth full-time for more than 10 years
Pros
Pay is decent here. It's the only positive I can think of. Sorry to say I cannot think of anything else positive.
Cons
Horrible company. Benefits are atrocious. But the worst is management. They are too concerned with patting themselves on the back to care about what the employees actually think. IF you desire to only have a job that you hate doing and don't want to advance in your clinical knowledge or advance in your career, then MercyHealth system is for you. Otherwise, please avoid at all costs. I will emphasize again-...
Show More
Advice to Management
Listen to your employees! We are the ones interacting with patients and staff every day, yet what we have to say is discarded without any thought. It is a shame.
Helpful (9)",Tue Jul 25 2017 07:14:40 GMT-0400 (Eastern Daylight Time), Pharmacist,"Rockford, IL",Current Employee ,Avoid at all costs,1.0,1.0,1.0,1.0,2.0,1.0,Mercyhealth Javon Bea Rockford
7,"April 21, 2017
""Hospice Social WorkerW""
Former Employee - Hospice Social Worker in Rockford, IL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Mercyhealth full-time for more than a year
Pros
Well paid if not on call without being paid. Colleagues, other than the Director, were great to work with.
Cons
High turn- over in Mgmt and staff; unpaid and high on-call hours,
Advice to Management
Reduce hrs.or pay Social Workers for on-call which is consistent with other hospices in town. Reduce duplication in charting.
Helpful",Fri Apr 21 2017 13:16:11 GMT-0400 (Eastern Daylight Time), Hospice Social Worker,"Rockford, IL",Former Employee ,Hospice Social WorkerW,2.0,1.0,1.0,1.0,2.0,1.0,Mercyhealth Javon Bea Rockford
8,"October 20, 2015
Helpful (2)
""Summer Intern""
Former Intern - Intern in Rockford, IL
I worked at Mercyhealth for less than a year
Pros
Very friendly environment. Feels like a family when you are working in the clinic office. Everyone knows everyone and they make people feel comfortable. The managers are all very qualified individuals and they manage meetings extremely well. You gain an intense amount of real world experience and you see how things work. The amount of knowledge you receive is just amazing.
Cons
As an intern you have a lot of down time. When everyone else is busy you sometimes get left with no work. Somedays I sat at my desk all day just studying for the GRE since there wasn't enough work.
Helpful (2)",Tue Oct 20 2015 11:30:46 GMT-0400 (Eastern Daylight Time), Intern,"Rockford, IL",Former Intern ,Summer Intern,5.0,4.0,5.0,2.0,2.0,5.0,Mercyhealth Javon Bea Rockford
9,"August 21, 2015
Helpful (1)
""Great place to work""
Former Employee - VNA Home Medical Equipment Manager in Rockford, IL
Recommends
Positive Outlook
I worked at Mercyhealth full-time for more than a year
Pros
Great sense of pride working with interdisciplinary team of healthcare professionals who value treating the patient with safe, reliable, and respectful care. Excellent leadership and staff engagement.
Cons
economic status of community is challenging and has impact on financial condition of health system.
Advice to Management
Continue to explore diverse reimbursement as the State of Illinois Medicaid system is broken.
Helpful (1)",Fri Aug 21 2015 06:34:33 GMT-0400 (Eastern Daylight Time), VNA Home Medical Equipment Manager,"Rockford, IL",Former Employee ,Great place to work,5.0,4.0,5.0,5.0,5.0,5.0,Mercyhealth Javon Bea Rockford
10,"March 29, 2019
""Mercy Health""
Current Employee - Manager in Rockford, IL
Recommends
Positive Outlook
Approves of CEO
I have been working at Mercyhealth full-time for more than 10 years
Pros
Its a good place to work
Cons
Many changes in the recent timeframe
Helpful",Fri Mar 29 2019 13:31:54 GMT-0400 (Eastern Daylight Time), Manager,"Rockford, IL",Current Employee ,Mercy Health,5.0,2.0,5.0,5.0,5.0,3.0,Mercyhealth Javon Bea Rockford
11,"January 24, 2020
""New management""
Former Employee - Supervisor in Rockford, IL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Mercyhealth full-time for more than 5 years
Pros
I was able to build partnerships and network that’s about it
Cons
The merge created a lot of undue stress and a lot of things were not discussed prior. A lot of Janesville management and directors have bossy attitudes its their Janesville way or else. They don’t listen to work flow ideas from RMH partners they always take over and their ideas are always used. They need to know how to communicate with staff. Director will walk right past her staff and act as if they don’t exist....
Show More
Helpful",Fri Jan 24 2020 06:47:26 GMT-0500 (Eastern Standard Time), Supervisor,"Rockford, IL",Former Employee ,New management,2.0,3.0,2.0,2.0,2.0,1.0,Mercyhealth Javon Bea Rockford
12,"September 22, 2019
""Don't come here for benefits""
Current Employee - Desktop Support Technician in Rockford, IL
Recommends
Neutral Outlook
No opinion of CEO
I have been working at Mercyhealth full-time for more than 5 years
Pros
work life balance is decent
Cons
benefits are not that great.
Helpful",Sun Sep 22 2019 18:38:50 GMT-0400 (Eastern Daylight Time), Desktop Support Technician,"Rockford, IL",Current Employee ,Don't come here for benefits,3.0,4.0,3.0,3.0,2.0,3.0,Mercyhealth Javon Bea Rockford
13,"September 8, 2019
Helpful (1)
""Toxic Manager How is She Still There?""
Former Employee - ER Registration in Rockford, IL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Mercyhealth full-time for more than 3 years
Pros
Benefits and when I left
Cons
Pay. Many work hours. Favoritism. Toxic Moody Boss. High Turnover. Lazy Coworkers.
Advice to Management
Look at the high turnover and why it is happening. Its the Manager of the Department!
Helpful (1)",Sun Sep 08 2019 22:58:30 GMT-0400 (Eastern Daylight Time), ER Registration,"Rockford, IL",Former Employee ,Toxic Manager How is She Still There?,2.0,2.0,3.0,1.0,3.0,1.0,Mercyhealth Javon Bea Rockford
14,"August 12, 2019
""Excellent Culture!""
Former Employee - Coordinator in Rockford, IL
Recommends
Positive Outlook
Approves of CEO
I worked at Mercyhealth full-time for more than a year
Pros
Kind individuals. Good mission. Opportunity for growth.
Cons
Not always organized. Incompliance at times.
Helpful",Mon Aug 12 2019 13:16:27 GMT-0400 (Eastern Daylight Time), Coordinator,"Rockford, IL",Former Employee ,Excellent Culture!,4.0,5.0,5.0,4.0,4.0,4.0,Mercyhealth Javon Bea Rockford
15,"December 21, 2017
Helpful (3)
""Poor Management, Poor Communication, Poor Outcomes""
Current Employee - Anonymous Employee in Rockford, IL
Doesn't Recommend
Positive Outlook
Disapproves of CEO
I have been working at Mercyhealth full-time for more than 8 years
Pros
The employees that are left still have ""hope"" for better behavior from Administration.
Cons
No one around in Administration, poor communication, expectations are high, not transparent and the community sees the poor results.
Advice to Management
How can you run a hospital when you're not here? Be visible to staff, hire the best candidate, not your Best Friend, go easy on the nepotism. Have a fair wage structure for staff, stop replacing Rockford employees with Janesville employees: they're not vested in the community. Value your employees and don't lie to the community.
Helpful (3)",Thu Dec 21 2017 11:53:55 GMT-0500 (Eastern Standard Time),,"Rockford, IL",Current Employee ,"Poor Management, Poor Communication, Poor Outcomes",1.0,1.0,1.0,1.0,1.0,1.0,Mercyhealth Javon Bea Rockford
16,"July 25, 2017
Helpful (9)
""Avoid at all costs""
Current Employee - Pharmacist in Rockford, IL
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I have been working at Mercyhealth full-time for more than 10 years
Pros
Pay is decent here. It's the only positive I can think of. Sorry to say I cannot think of anything else positive.
Cons
Horrible company. Benefits are atrocious. But the worst is management. They are too concerned with patting themselves on the back to care about what the employees actually think. IF you desire to only have a job that you hate doing and don't want to advance in your clinical knowledge or advance in your career, then MercyHealth system is for you. Otherwise, please avoid at all costs. I will emphasize again-...
Show More
Advice to Management
Listen to your employees! We are the ones interacting with patients and staff every day, yet what we have to say is discarded without any thought. It is a shame.
Helpful (9)",Tue Jul 25 2017 07:14:40 GMT-0400 (Eastern Daylight Time), Pharmacist,"Rockford, IL",Current Employee ,Avoid at all costs,1.0,1.0,1.0,1.0,2.0,1.0,Mercyhealth Javon Bea Rockford
17,"April 21, 2017
""Hospice Social WorkerW""
Former Employee - Hospice Social Worker in Rockford, IL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Mercyhealth full-time for more than a year
Pros
Well paid if not on call without being paid. Colleagues, other than the Director, were great to work with.
Cons
High turn- over in Mgmt and staff; unpaid and high on-call hours,
Advice to Management
Reduce hrs.or pay Social Workers for on-call which is consistent with other hospices in town. Reduce duplication in charting.
Helpful",Fri Apr 21 2017 13:16:11 GMT-0400 (Eastern Daylight Time), Hospice Social Worker,"Rockford, IL",Former Employee ,Hospice Social WorkerW,2.0,1.0,1.0,1.0,2.0,1.0,Mercyhealth Javon Bea Rockford
18,"October 20, 2015
Helpful (2)
""Summer Intern""
Former Intern - Intern in Rockford, IL
I worked at Mercyhealth for less than a year
Pros
Very friendly environment. Feels like a family when you are working in the clinic office. Everyone knows everyone and they make people feel comfortable. The managers are all very qualified individuals and they manage meetings extremely well. You gain an intense amount of real world experience and you see how things work. The amount of knowledge you receive is just amazing.
Cons
As an intern you have a lot of down time. When everyone else is busy you sometimes get left with no work. Somedays I sat at my desk all day just studying for the GRE since there wasn't enough work.
Helpful (2)",Tue Oct 20 2015 11:30:46 GMT-0400 (Eastern Daylight Time), Intern,"Rockford, IL",Former Intern ,Summer Intern,5.0,4.0,5.0,2.0,2.0,5.0,Mercyhealth Javon Bea Rockford
19,"August 21, 2015
Helpful (1)
""Great place to work""
Former Employee - VNA Home Medical Equipment Manager in Rockford, IL
Recommends
Positive Outlook
I worked at Mercyhealth full-time for more than a year
Pros
Great sense of pride working with interdisciplinary team of healthcare professionals who value treating the patient with safe, reliable, and respectful care. Excellent leadership and staff engagement.
Cons
economic status of community is challenging and has impact on financial condition of health system.
Advice to Management
Continue to explore diverse reimbursement as the State of Illinois Medicaid system is broken.
Helpful (1)",Fri Aug 21 2015 06:34:33 GMT-0400 (Eastern Daylight Time), VNA Home Medical Equipment Manager,"Rockford, IL",Former Employee ,Great place to work,5.0,4.0,5.0,5.0,5.0,5.0,Mercyhealth Javon Bea Rockford
20,"March 29, 2019
""Mercy Health""
Current Employee - Manager in Rockford, IL
Recommends
Positive Outlook
Approves of CEO
I have been working at Mercyhealth full-time for more than 10 years
Pros
Its a good place to work
Cons
Many changes in the recent timeframe
Helpful",Fri Mar 29 2019 13:31:54 GMT-0400 (Eastern Daylight Time), Manager,"Rockford, IL",Current Employee ,Mercy Health,5.0,2.0,5.0,5.0,5.0,3.0,Mercyhealth Javon Bea Rockford
21,"January 24, 2020
""New management""
Former Employee - Supervisor in Rockford, IL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Mercyhealth full-time for more than 5 years
Pros
I was able to build partnerships and network that’s about it
Cons
The merge created a lot of undue stress and a lot of things were not discussed prior. A lot of Janesville management and directors have bossy attitudes its their Janesville way or else. They don’t listen to work flow ideas from RMH partners they always take over and their ideas are always used. They need to know how to communicate with staff. Director will walk right past her staff and act as if they don’t exist....
Show More
Helpful",Fri Jan 24 2020 06:47:26 GMT-0500 (Eastern Standard Time), Supervisor,"Rockford, IL",Former Employee ,New management,2.0,3.0,2.0,2.0,2.0,1.0,Mercyhealth Javon Bea Rockford
22,"September 22, 2019
""Don't come here for benefits""
Current Employee - Desktop Support Technician in Rockford, IL
Recommends
Neutral Outlook
No opinion of CEO
I have been working at Mercyhealth full-time for more than 5 years
Pros
work life balance is decent
Cons
benefits are not that great.
Helpful",Sun Sep 22 2019 18:38:50 GMT-0400 (Eastern Daylight Time), Desktop Support Technician,"Rockford, IL",Current Employee ,Don't come here for benefits,3.0,4.0,3.0,3.0,2.0,3.0,Mercyhealth Javon Bea Rockford
23,"September 8, 2019
Helpful (1)
""Toxic Manager How is She Still There?""
Former Employee - ER Registration in Rockford, IL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Mercyhealth full-time for more than 3 years
Pros
Benefits and when I left
Cons
Pay. Many work hours. Favoritism. Toxic Moody Boss. High Turnover. Lazy Coworkers.
Advice to Management
Look at the high turnover and why it is happening. Its the Manager of the Department!
Helpful (1)",Sun Sep 08 2019 22:58:30 GMT-0400 (Eastern Daylight Time), ER Registration,"Rockford, IL",Former Employee ,Toxic Manager How is She Still There?,2.0,2.0,3.0,1.0,3.0,1.0,Mercyhealth Javon Bea Rockford
24,"August 12, 2019
""Excellent Culture!""
Former Employee - Coordinator in Rockford, IL
Recommends
Positive Outlook
Approves of CEO
I worked at Mercyhealth full-time for more than a year
Pros
Kind individuals. Good mission. Opportunity for growth.
Cons
Not always organized. Incompliance at times.
Helpful",Mon Aug 12 2019 13:16:27 GMT-0400 (Eastern Daylight Time), Coordinator,"Rockford, IL",Former Employee ,Excellent Culture!,4.0,5.0,5.0,4.0,4.0,4.0,Mercyhealth Javon Bea Rockford
25,"December 21, 2017
Helpful (3)
""Poor Management, Poor Communication, Poor Outcomes""
Current Employee - Anonymous Employee in Rockford, IL
Doesn't Recommend
Positive Outlook
Disapproves of CEO
I have been working at Mercyhealth full-time for more than 8 years
Pros
The employees that are left still have ""hope"" for better behavior from Administration.
Cons
No one around in Administration, poor communication, expectations are high, not transparent and the community sees the poor results.
Advice to Management
How can you run a hospital when you're not here? Be visible to staff, hire the best candidate, not your Best Friend, go easy on the nepotism. Have a fair wage structure for staff, stop replacing Rockford employees with Janesville employees: they're not vested in the community. Value your employees and don't lie to the community.
Helpful (3)",Thu Dec 21 2017 11:53:55 GMT-0500 (Eastern Standard Time),,"Rockford, IL",Current Employee ,"Poor Management, Poor Communication, Poor Outcomes",1.0,1.0,1.0,1.0,1.0,1.0,Mercyhealth Javon Bea Rockford
